"행정구역","2022년05월_총인구수","2022년05월_세대수","2022년05월_세대당 인구","2022년05월_남자 인구수","2022년05월_여자 인구수"
"서울특별시  (1100000000)","9,496,887","4,460,604","          2.13","4,607,440","4,889,447"
"서울특별시 종로구 (1111000000)","143,850","73,822","          1.95","69,638","74,212"
"서울특별시 중구 (1114000000)","122,054","63,880","          1.91","59,368","62,686"
"서울특별시 용산구 (1117000000)","222,083","111,508","          1.99","106,666","115,417"
"서울특별시 성동구 (1120000000)","284,173","134,357","          2.12","138,373","145,800"
"서울특별시 광진구 (1121500000)","340,062","169,769","          2.00","164,091","175,971"
"서울특별시 동대문구 (1123000000)","337,443","169,815","          1.99","166,447","170,996"
"서울특별시 중랑구 (1126000000)","388,736","188,134","          2.07","191,575","197,161"
"서울특별시 성북구 (1129000000)","433,531","197,884","          2.19","208,802","224,729"
"서울특별시 강북구 (1130500000)","296,726","144,866","          2.05","144,228","152,498"
"서울특별시 도봉구 (1132000000)","315,162","138,951","          2.27","153,252","161,910"
"서울특별시 노원구 (1135000000)","508,867","218,955","          2.32","244,807","264,060"
"서울특별시 은평구 (1138000000)","473,669","216,169","          2.19","226,182","247,487"
"서울특별시 서대문구 (1141000000)","305,615","145,397","          2.10","145,681","159,934"
"서울특별시 마포구 (1144000000)","367,474","180,978","          2.03","172,574","194,900"
"서울특별시 양천구 (1147000000)","444,925","181,921","          2.45","217,920","227,005"
"서울특별시 강서구 (1150000000)","572,959","273,756","          2.09","275,199","297,760"
"서울특별시 구로구 (1153000000)","395,146","182,113","          2.17","194,518","200,628"
"서울특별시 금천구 (1154500000)","231,427","119,315","          1.94","116,756","114,671"
"서울특별시 영등포구 (1156000000)","376,290","188,506","          2.00","185,354","190,936"
"서울특별시 동작구 (1159000000)","385,755","186,948","          2.06","186,455","199,300"
"서울특별시 관악구 (1162000000)","486,686","280,657","          1.73","244,628","242,058"
"서울특별시 서초구 (1165000000)","408,133","169,642","          2.41","195,056","213,077"
"서울특별시 강남구 (1168000000)","531,744","234,833","          2.26","254,347","277,397"
"서울특별시 송파구 (1171000000)","662,960","285,939","          2.32","319,461","343,499"
"서울특별시 강동구 (1174000000)","461,417","202,489","          2.28","226,062","235,355"
"부산광역시  (2600000000)","3,338,167","1,555,326","          2.15","1,631,825","1,706,342"
"부산광역시 중구 (2611000000)","40,537","24,303","          1.67","19,739","20,798"
"부산광역시 서구 (2614000000)","103,810","52,852","          1.96","50,156","53,654"
"부산광역시 동구 (2617000000)","88,222","47,024","          1.88","43,073","45,149"
"부산광역시 영도구 (2620000000)","109,460","54,650","          2.00","53,912","55,548"
"부산광역시 부산진구 (2623000000)","350,977","174,306","          2.01","168,938","182,039"
"부산광역시 동래구 (2626000000)","273,996","119,446","          2.29","132,891","141,105"
"부산광역시 남구 (2629000000)","260,261","118,544","          2.20","127,119","133,142"
"부산광역시 북구 (2632000000)","280,647","123,469","          2.27","138,423","142,224"
"부산광역시 해운대구 (2635000000)","392,110","172,126","          2.28","188,341","203,769"
"부산광역시 사하구 (2638000000)","305,393","140,991","          2.17","151,882","153,511"
"부산광역시 금정구 (2641000000)","224,746","107,900","          2.08","109,848","114,898"
"부산광역시 강서구 (2644000000)","143,914","62,530","          2.30","74,534","69,380"
"부산광역시 연제구 (2647000000)","206,506","94,182","          2.19","99,264","107,242"
"부산광역시 수영구 (2650000000)","174,665","86,829","          2.01","82,297","92,368"
"부산광역시 사상구 (2653000000)","206,099","98,702","          2.09","103,841","102,258"
"부산광역시 기장군 (2671000000)","176,824","77,472","          2.28","87,567","89,257"
"대구광역시  (2700000000)","2,376,676","1,070,212","          2.22","1,170,309","1,206,367"
"대구광역시 중구 (2711000000)","78,703","40,289","          1.95","37,767","40,936"
"대구광역시 동구 (2714000000)","341,070","159,446","          2.14","167,633","173,437"
"대구광역시 서구 (2717000000)","161,790","81,656","          1.98","80,748","81,042"
"대구광역시 남구 (2720000000)","141,520","76,179","          1.86","67,867","73,653"
"대구광역시 북구 (2723000000)","435,869","193,185","          2.26","216,758","219,111"
"대구광역시 수성구 (2726000000)","415,306","172,201","          2.41","200,715","214,591"
"대구광역시 달서구 (2729000000)","539,528","234,979","          2.30","265,471","274,057"
"대구광역시 달성군 (2771000000)","262,890","112,277","          2.34","133,350","129,540"
"인천광역시  (2800000000)","2,955,167","1,311,588","          2.25","1,479,428","1,475,739"
"인천광역시 중구 (2811000000)","147,093","72,990","          2.02","76,413","70,680"
"인천광역시 중구영종출장소 (2811400000)","0","0","          0.00","0","0"
"인천광역시 중구용유출장소 (2811800000)","0","0","          0.00","0","0"
"인천광역시 동구 (2814000000)","59,322","27,783","          2.14","29,892","29,430"
"인천광역시 미추홀구 (2817700000)","407,253","194,998","          2.09","205,062","202,191"
"인천광역시 연수구 (2818500000)","387,789","156,685","          2.47","192,562","195,227"
"인천광역시 남동구 (2820000000)","513,965","228,517","          2.25","255,275","258,690"
"인천광역시 부평구 (2823700000)","486,216","215,100","          2.26","239,886","246,330"
"인천광역시 계양구 (2824500000)","293,506","128,214","          2.29","146,230","147,276"
"인천광역시 서구 (2826000000)","569,494","239,984","          2.37","287,422","282,072"
"인천광역시 서구검단출장소 (2826500000)","0","0","          0.00","0","0"
"인천광역시 강화군 (2871000000)","69,940","35,058","          1.99","34,993","34,947"
"인천광역시 옹진군 (2872000000)","20,589","12,259","          1.68","11,693","8,896"
"광주광역시  (2900000000)","1,436,012","649,454","          2.21","710,062","725,950"
"광주광역시 동구 (2911000000)","102,936","52,540","          1.96","50,776","52,160"
"광주광역시 서구 (2914000000)","288,703","133,119","          2.17","141,389","147,314"
"광주광역시 남구 (2915500000)","215,251","96,486","          2.23","103,427","111,824"
"광주광역시 북구 (2917000000)","426,329","197,158","          2.16","211,436","214,893"
"광주광역시 광산구 (2920000000)","402,793","170,151","          2.37","203,034","199,759"
"대전광역시  (3000000000)","1,448,933","669,589","          2.16","722,840","726,093"
"대전광역시 동구 (3011000000)","220,920","108,142","          2.04","111,265","109,655"
"대전광역시 중구 (3014000000)","229,089","108,179","          2.12","112,787","116,302"
"대전광역시 서구 (3017000000)","471,247","215,087","          2.19","231,667","239,580"
"대전광역시 유성구 (3020000000)","352,826","157,541","          2.24","178,219","174,607"
"대전광역시 대덕구 (3023000000)","174,851","80,640","          2.17","88,902","85,949"
"울산광역시  (3100000000)","1,116,482","485,349","          2.30","573,619","542,863"
"울산광역시 중구 (3111000000)","210,786","93,658","          2.25","106,713","104,073"
"울산광역시 남구 (3114000000)","312,230","139,223","          2.24","159,332","152,898"
"울산광역시 동구 (3117000000)","152,971","66,449","          2.30","79,863","73,108"
"울산광역시 북구 (3120000000)","218,738","86,626","          2.53","113,111","105,627"
"울산광역시 울주군 (3171000000)","221,757","99,393","          2.23","114,600","107,157"
"세종특별자치시  (3600000000)","379,340","157,846","          2.40","189,302","190,038"
"세종특별자치시  (3611000000)","379,340","157,846","          2.40","189,302","190,038"
"경기도  (4100000000)","13,581,496","5,890,145","          2.31","6,835,968","6,745,528"
"경기도 수원시 (4111000000)","1,185,041","523,201","          2.26","596,940","588,101"
"경기도 수원시 장안구 (4111100000)","272,963","119,244","          2.29","137,429","135,534"
"경기도 수원시 권선구 (4111300000)","369,217","160,482","          2.30","186,627","182,590"
"경기도 수원시 팔달구 (4111500000)","181,280","91,352","          1.98","91,330","89,950"
"경기도 수원시 영통구 (4111700000)","361,581","152,123","          2.38","181,554","180,027"
"경기도 성남시 (4113000000)","927,340","409,840","          2.26","459,333","468,007"
"경기도 성남시 수정구 (4113100000)","234,748","114,773","          2.05","118,967","115,781"
"경기도 성남시 중원구 (4113300000)","208,356","99,729","          2.09","105,597","102,759"
"경기도 성남시 분당구 (4113500000)","484,236","195,338","          2.48","234,769","249,467"
"경기도 의정부시 (4115000000)","464,397","207,857","          2.23","228,500","235,897"
"경기도 안양시 (4117000000)","549,917","227,666","          2.42","271,772","278,145"
"경기도 안양시 만안구 (4117100000)","235,229","102,661","          2.29","117,563","117,666"
"경기도 안양시 동안구 (4117300000)","314,688","125,005","          2.52","154,209","160,479"
"경기도 부천시 (4119000000)","800,174","346,910","          2.31","396,345","403,829"
"경기도 광명시 (4121000000)","290,726","119,621","          2.43","143,210","147,516"
"경기도 평택시 (4122000000)","570,868","266,929","          2.14","298,058","272,810"
"경기도 송탄출장소 (4122200000)","0","0","          0.00","0","0"
"경기도 안중출장소 (4122400000)","0","0","          0.00","0","0"
"경기도 동두천시 (4125000000)","93,189","44,481","          2.10","46,501","46,688"
"경기도 안산시 (4127000000)","649,776","293,652","          2.21","333,233","316,543"
"경기도 안산시 상록구 (4127100000)","349,083","157,463","          2.22","178,218","170,865"
"경기도 안산시 단원구 (4127300000)","300,693","136,189","          2.21","155,015","145,678"
"경기도 고양시 (4128000000)","1,078,975","460,568","          2.34","527,265","551,710"
"경기도 고양시 덕양구 (4128100000)","484,928","213,686","          2.27","238,947","245,981"
"경기도 고양시 일산동구 (4128500000)","299,123","129,294","          2.31","145,432","153,691"
"경기도 고양시 일산서구 (4128700000)","294,924","117,588","          2.51","142,886","152,038"
"경기도 과천시 (4129000000)","78,414","29,103","          2.69","38,548","39,866"
"경기도 구리시 (4131000000)","190,647","80,870","          2.36","94,493","96,154"
"경기도 남양주시 (4136000000)","735,547","302,282","          2.43","365,710","369,837"
"경기도 풍양출장소 (4136200000)","0","0","          0.00","0","0"
"경기도 오산시 (4137000000)","230,011","102,890","          2.24","119,574","110,437"
"경기도 시흥시 (4139000000)","513,653","223,142","          2.30","268,378","245,275"
"경기도 군포시 (4141000000)","267,659","114,027","          2.35","132,808","134,851"
"경기도 의왕시 (4143000000)","161,696","65,501","          2.47","80,259","81,437"
"경기도 하남시 (4145000000)","323,675","140,012","          2.31","161,833","161,842"
"경기도 용인시 (4146000000)","1,076,530","431,345","          2.50","534,143","542,387"
"경기도 용인시 처인구 (4146100000)","261,276","115,873","          2.25","134,179","127,097"
"경기도 용인시 기흥구 (4146300000)","439,990","174,296","          2.52","217,099","222,891"
"경기도 용인시 수지구 (4146500000)","375,264","141,176","          2.66","182,865","192,399"
"경기도 파주시 (4148000000)","486,872","214,626","          2.27","247,137","239,735"
"경기도 이천시 (4150000000)","222,948","102,101","          2.18","115,858","107,090"
"경기도 안성시 (4155000000)","189,969","90,014","          2.11","98,127","91,842"
"경기도 김포시 (4157000000)","485,453","201,352","          2.41","242,809","242,644"
"경기도 화성시 (4159000000)","894,587","379,119","          2.36","465,017","429,570"
"경기도 화성시동부출장소 (4159200000)","0","0","          0.00","0","0"
"경기도 화성시동탄출장소 (4159400000)","0","0","          0.00","0","0"
"경기도 광주시 (4161000000)","389,483","169,362","          2.30","198,743","190,740"
"경기도 양주시 (4163000000)","236,120","102,838","          2.30","119,676","116,444"
"경기도 포천시 (4165000000)","148,326","73,823","          2.01","78,631","69,695"
"경기도 여주시 (4167000000)","112,558","53,322","          2.11","57,241","55,317"
"경기도 연천군 (4180000000)","42,675","22,109","          1.93","22,420","20,255"
"경기도 가평군 (4182000000)","62,224","32,005","          1.94","32,068","30,156"
"경기도 양평군 (4183000000)","122,046","59,577","          2.05","61,338","60,708"
"강원도  (4200000000)","1,539,005","752,649","          2.04","774,458","764,547"
"강원도 춘천시 (4211000000)","285,738","132,179","          2.16","141,017","144,721"
"강원도 원주시 (4213000000)","359,229","167,123","          2.15","178,072","181,157"
