*미급수지역 위치 (주소),*미급수인구,미급수세대,상수원,,
대구광역시 대구북구 연경동 ,51,27,개인관정 (우물 등),,
,702,400,,,
광주광역시 광주남구 진월동 ,182,70,전용상수도,,
광주광역시 광주북구 덕의동 ,27,19,석저마을 - 지하수,,
광주광역시 광주북구 충효동 ,205,176,"수리,충효,평촌마을 - 지하수",,
광주광역시 광주북구 금곡동 ,288,135,"금곡, 배재,산장마을 - 지하수",,
,"6,910","2,468",,,
울산광역시 울주군 온산읍 ,"1,222",449,지하수 및 계곡수,,
울산광역시 울주군 언양읍 ,46,80,지하수 및 계곡수,, 
울산광역시 울주군 온양읍 ,349,133,지하수 및 계곡수,,
울산광역시 울주군 범서읍 ,392,61,지하수 및 계곡수,,
울산광역시 울주군 청량면 ,82,48,지하수 및 계곡수,,
울산광역시 울주군 웅촌면 ,233,67,지하수 및 계곡수,,
울산광역시 울주군 두동면 ,"1,183",511,지하수 및 계곡수,,
울산광역시 울주군 두서면 ,284,60,지하수 및 계곡수,,
울산광역시 울주군 상북면 ,"1,575",605,지하수 및 계곡수,,
울산광역시 울주군 삼남면 ,"1,422",402,지하수 및 계곡수,,
울산광역시 울주군 삼동면 ,122,52,지하수 및 계곡수,,
,"8,551","3,495",,,
세종특별자치시 조치원읍 ,"1,152",475,지하수,,
세종특별자치시 연기면 ,38,1,지하수,,
세종특별자치시 연동면 ,108,43,지하수,,
세종특별자치시 소정면 ,"1,672",669,지하수,,
세종특별자치시 장군면 ,"1,123",499,지하수,,
세종특별자치시 연서면 ,"2,016",806,지하수,,
세종특별자치시 전의면 ,"1,317",552,지하수,,
세종특별자치시 전동면 ,837,335,지하수,,
세종특별자치시 금남면 ,288,115,지하수,,
,"157,918","60,210",,,
,"138,591","48,386",,,
,"19,327","11,824",,,
,566,250,,,
경기도 수원시영통구 망포동 291 ,566,250,지하수,,
,535,237,,,
경기도 성남시분당구 동원동 ,255,103,지하수,,
경기도 성남시분당구 대장동 ,280,134,지하수,,
,"2,159",988,,,
경기도 의정부시 자일동 ,39,22,지하수,,
경기도 의정부시 용현동 ,21,12,지하수,,
경기도 의정부시 고산동 ,"2,099",954,지하수,,
,58,58,,,
경기도 광명시 노온사동 ,58,58,지하수,,
,"1,763",810,,,
경기도 평택시 비전동 ,129,59,자가수도,,
경기도 평택시 신장동 ,82,42,자가수도,,
경기도 평택시 안중읍 ,479,218,자가수도,,
경기도 평택시 청북면 ,86,39,자가수도,,
경기도 평택시 팽성읍 ,28,13,자가수도,,
경기도 평택시 포승읍 ,30,14,자가수도,,
경기도 평택시 고덕면 ,162,74,자가수도,,
경기도 평택시 서탄면 ,176,82,자가수도,,
