"측정소명","년/월/일","수위(cm)","최고수위(cm)","최저수위(cm)"
"남양주시(부평교)","2021/12/31","25","",""
"남양주시(부평교)","2021/12/30","25","",""
"남양주시(부평교)","2021/12/29","25","",""
"남양주시(부평교)","2021/12/28","25","",""
"남양주시(부평교)","2021/12/27","25","",""
"남양주시(부평교)","2021/12/26","25","",""
"남양주시(부평교)","2021/12/25","26","",""
"남양주시(부평교)","2021/12/24","26","",""
"남양주시(부평교)","2021/12/23","26","",""
"남양주시(부평교)","2021/12/22","26","",""
"남양주시(부평교)","2021/12/21","26","",""
"남양주시(부평교)","2021/12/20","26","",""
"남양주시(부평교)","2021/12/19","26","",""
"남양주시(부평교)","2021/12/18","26","",""
"남양주시(부평교)","2021/12/17","27","",""
"남양주시(부평교)","2021/12/16","27","",""
"남양주시(부평교)","2021/12/15","27","",""
"남양주시(부평교)","2021/12/14","27","",""
"남양주시(부평교)","2021/12/13","27","",""
"남양주시(부평교)","2021/12/12","27","",""
"남양주시(부평교)","2021/12/11","27","",""
"남양주시(부평교)","2021/12/10","27","",""
"남양주시(부평교)","2021/12/09","27","",""
"남양주시(부평교)","2021/12/08","27.83","",""
"남양주시(부평교)","2021/12/07","28","",""
"남양주시(부평교)","2021/12/06","28","",""
"남양주시(부평교)","2021/12/05","28","",""
"남양주시(부평교)","2021/12/04","28","",""
"남양주시(부평교)","2021/12/03","29","",""
"남양주시(부평교)","2021/12/02","29","",""
"남양주시(부평교)","2021/12/01","32","",""
"남양주시(부평교)","2021/11/30","26","",""
"남양주시(부평교)","2021/11/29","26","",""
"남양주시(부평교)","2021/11/28","26","",""
"남양주시(부평교)","2021/11/27","26.71","",""
"남양주시(부평교)","2021/11/25","27","",""
"남양주시(부평교)","2021/11/24","27","",""
"남양주시(부평교)","2021/11/23","28","",""
"남양주시(부평교)","2021/11/22","27","",""
"남양주시(부평교)","2021/11/21","26","",""
"남양주시(부평교)","2021/11/20","26","",""
"남양주시(부평교)","2021/11/19","27","",""
"남양주시(부평교)","2021/11/18","27","",""
"남양주시(부평교)","2021/11/17","27","",""
"남양주시(부평교)","2021/11/16","27","",""
"남양주시(부평교)","2021/11/15","27","",""
"남양주시(부평교)","2021/11/14","27","",""
"남양주시(부평교)","2021/11/13","27","",""
"남양주시(부평교)","2021/11/12","28","",""
"남양주시(부평교)","2021/11/11","28","",""
"남양주시(부평교)","2021/11/10","28.17","",""
"남양주시(부평교)","2021/11/09","29.5","",""
"남양주시(부평교)","2021/11/08","32.88","",""
"남양주시(부평교)","2021/11/07","27","",""
"남양주시(부평교)","2021/11/06","27","",""
"남양주시(부평교)","2021/11/05","27","",""
"남양주시(부평교)","2021/11/04","27","",""
"남양주시(부평교)","2021/11/03","27","",""
"남양주시(부평교)","2021/11/02","27","",""
"남양주시(부평교)","2021/11/01","27","",""
"남양주시(부평교)","2021/10/31","27","",""
"남양주시(부평교)","2021/10/30","27","",""
"남양주시(부평교)","2021/10/29","27","",""
"남양주시(부평교)","2021/10/28","27","",""
"남양주시(부평교)","2021/10/27","27.71","",""
"남양주시(부평교)","2021/10/26","28","",""
"남양주시(부평교)","2021/10/25","28","",""
"남양주시(부평교)","2021/10/24","28","",""
"남양주시(부평교)","2021/10/23","28","",""
"남양주시(부평교)","2021/10/22","28.46","",""
"남양주시(부평교)","2021/10/21","29","",""
"남양주시(부평교)","2021/10/20","29","",""
"남양주시(부평교)","2021/10/19","29.83","",""
"남양주시(부평교)","2021/10/18","30","",""
"남양주시(부평교)","2021/10/17","30","",""
"남양주시(부평교)","2021/10/16","30.54","",""
"남양주시(부평교)","2021/10/15","31.75","",""
"남양주시(부평교)","2021/10/14","32.29","",""
"남양주시(부평교)","2021/10/13","33.63","",""
"남양주시(부평교)","2021/10/12","35.83","",""
"남양주시(부평교)","2021/10/11","39.54","",""
"남양주시(부평교)","2021/10/10","35.92","",""
"남양주시(부평교)","2021/10/09","31.21","",""
"남양주시(부평교)","2021/10/08","32","",""
"남양주시(부평교)","2021/10/07","32","",""
"남양주시(부평교)","2021/10/06","32","",""
"남양주시(부평교)","2021/10/05","45","",""
"남양주시(부평교)","2021/10/04","30.75","",""
"남양주시(부평교)","2021/10/03","28.08","",""
"남양주시(부평교)","2021/10/02","29","",""
"남양주시(부평교)","2021/10/01","29","",""
"남양주시(부평교)","2021/09/30","31","",""
"남양주시(부평교)","2021/09/29","29","",""
"남양주시(부평교)","2021/09/28","29","",""
"남양주시(부평교)","2021/09/27","30","",""
"남양주시(부평교)","2021/09/26","30","",""
"남양주시(부평교)","2021/09/25","30.96","",""
"남양주시(부평교)","2021/09/24","33","",""
"남양주시(부평교)","2021/09/23","36","",""
"남양주시(부평교)","2021/09/22","45.83","",""
"남양주시(부평교)","2021/09/21","44.04","",""
"남양주시(부평교)","2021/09/20","27","",""
"남양주시(부평교)","2021/09/19","27","",""
"남양주시(부평교)","2021/09/18","27","",""
"남양주시(부평교)","2021/09/17","27","",""
"남양주시(부평교)","2021/09/16","28","",""
"남양주시(부평교)","2021/09/15","28","",""
"남양주시(부평교)","2021/09/14","29","",""
"남양주시(부평교)","2021/09/13","29","",""
"남양주시(부평교)","2021/09/12","29.83","",""
"남양주시(부평교)","2021/09/11","30.13","",""
"남양주시(부평교)","2021/09/10","32","",""
"남양주시(부평교)","2021/09/09","33","",""
"남양주시(부평교)","2021/09/08","37","",""
"남양주시(부평교)","2021/09/07","31","",""
"남양주시(부평교)","2021/09/06","29","",""
"남양주시(부평교)","2021/09/05","29.79","",""
"남양주시(부평교)","2021/09/04","30.38","",""
"남양주시(부평교)","2021/09/03","33","",""
"남양주시(부평교)","2021/09/02","36","",""
"남양주시(부평교)","2021/09/01","60","",""
"남양주시(부평교)","2021/08/31","28","",""
"남양주시(부평교)","2021/08/30","28","",""
"남양주시(부평교)","2021/08/29","29","",""
"남양주시(부평교)","2021/08/28","29","",""
"남양주시(부평교)","2021/08/27","30","",""
"남양주시(부평교)","2021/08/26","31","",""
"남양주시(부평교)","2021/08/25","34","",""
"남양주시(부평교)","2021/08/24","30","",""
"남양주시(부평교)","2021/08/23","32","",""
"남양주시(부평교)","2021/08/22","34.75","",""
"남양주시(부평교)","2021/08/21","43.25","",""
"남양주시(부평교)","2021/08/20","26.08","",""
"남양주시(부평교)","2021/08/19","26","",""
"남양주시(부평교)","2021/08/18","25","",""
"남양주시(부평교)","2021/08/17","26","",""
"남양주시(부평교)","2021/08/16","26","",""
"남양주시(부평교)","2021/08/15","26","",""
"남양주시(부평교)","2021/08/14","26.58","",""
"남양주시(부평교)","2021/08/13","27","",""
"남양주시(부평교)","2021/08/12","26","",""
"남양주시(부평교)","2021/08/11","27","",""
"남양주시(부평교)","2021/08/10","27","",""
"남양주시(부평교)","2021/08/09","27","",""
"남양주시(부평교)","2021/08/08","27","",""
"남양주시(부평교)","2021/08/07","27","",""
"남양주시(부평교)","2021/08/06","28","",""
"남양주시(부평교)","2021/08/05","29","",""
"남양주시(부평교)","2021/08/04","30.58","",""
"남양주시(부평교)","2021/08/03","31.58","",""
"남양주시(부평교)","2021/08/02","28","",""
"남양주시(부평교)","2021/08/01","28.42","",""
"남양주시(부평교)","2021/07/31","35.67","",""
"남양주시(부평교)","2021/07/30","27","",""
"남양주시(부평교)","2021/07/29","27","",""
"남양주시(부평교)","2021/07/28","27","",""
"남양주시(부평교)","2021/07/27","27","",""
"남양주시(부평교)","2021/07/26","27","",""
"남양주시(부평교)","2021/07/25","27.63","",""
"남양주시(부평교)","2021/07/24","28","",""
"남양주시(부평교)","2021/07/23","28","",""
"남양주시(부평교)","2021/07/22","29","",""
"남양주시(부평교)","2021/07/21","29","",""
"남양주시(부평교)","2021/07/20","30","",""
"남양주시(부평교)","2021/07/19","30.38","",""
"남양주시(부평교)","2021/07/18","31","",""
"남양주시(부평교)","2021/07/17","32.25","",""
"남양주시(부평교)","2021/07/16","41","",""
"남양주시(부평교)","2021/07/15","31","",""
"남양주시(부평교)","2021/07/14","32","",""
"남양주시(부평교)","2021/07/13","34","",""
"남양주시(부평교)","2021/07/12","38","",""
"남양주시(부평교)","2021/07/11","41.25","",""
"남양주시(부평교)","2021/07/10","34","",""
"남양주시(부평교)","2021/07/09","39","",""
"남양주시(부평교)","2021/07/08","32","",""
"남양주시(부평교)","2021/07/07","34","",""
"남양주시(부평교)","2021/07/06","37","",""
"남양주시(부평교)","2021/07/05","39.54","",""
"남양주시(부평교)","2021/07/04","52.75","",""
"남양주시(부평교)","2021/07/03","33.38","",""
"남양주시(부평교)","2021/07/02","28","",""
"남양주시(부평교)","2021/07/01","29","",""
"남양주시(부평교)","2021/06/30","29.29","",""
"남양주시(부평교)","2021/06/29","29","",""
"남양주시(부평교)","2021/06/28","28","",""
"남양주시(부평교)","2021/06/27","28","",""
"남양주시(부평교)","2021/06/26","28","",""
"남양주시(부평교)","2021/06/25","28","",""
"남양주시(부평교)","2021/06/24","29","",""
"남양주시(부평교)","2021/06/23","33","",""
"남양주시(부평교)","2021/06/22","28","",""
"남양주시(부평교)","2021/06/21","29","",""
"남양주시(부평교)","2021/06/20","29","",""
"남양주시(부평교)","2021/06/19","29","",""
"남양주시(부평교)","2021/06/18","29","",""
"남양주시(부평교)","2021/06/17","29","",""
"남양주시(부평교)","2021/06/16","30.04","",""
"남양주시(부평교)","2021/06/15","30","",""
"남양주시(부평교)","2021/06/14","30","",""
"남양주시(부평교)","2021/06/13","30.67","",""
"남양주시(부평교)","2021/06/12","31.67","",""
"남양주시(부평교)","2021/06/11","37","",""
"남양주시(부평교)","2021/06/10","31","",""
"남양주시(부평교)","2021/06/09","32","",""
"남양주시(부평교)","2021/06/08","32","",""
"남양주시(부평교)","2021/06/07","33","",""
"남양주시(부평교)","2021/06/06","33.58","",""
"남양주시(부평교)","2021/06/05","34.88","",""
"남양주시(부평교)","2021/06/04","45","",""
"남양주시(부평교)","2021/06/03","35","",""
"남양주시(부평교)","2021/06/02","36","",""
"남양주시(부평교)","2021/06/01","37","",""
"남양주시(부평교)","2021/05/31","45","",""
"남양주시(부평교)","2021/05/30","34.21","",""
"남양주시(부평교)","2021/05/29","35.63","",""
"남양주시(부평교)","2021/05/28","32","",""
"남양주시(부평교)","2021/05/27","31","",""
"남양주시(부평교)","2021/05/26","32.17","",""
"남양주시(부평교)","2021/05/25","31","",""
"남양주시(부평교)","2021/05/24","31.71","",""
"남양주시(부평교)","2021/05/23","32.54","",""
"남양주시(부평교)","2021/05/22","34.25","",""
"남양주시(부평교)","2021/05/21","36.42","",""
"남양주시(부평교)","2021/05/20","39","",""
