"측정소명","년","월","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","SS(㎎/L)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","수소이온농도","총대장균군수(총대장균군수/100ml)","클로로필 a(㎎/㎥)","분원성대장균군수"
"김포","2020","01","13.1","0.8","3.6","6.2","3.761","0.026","1.9","7.6","1600","9.1","4"
"김포","2020","02","12.3","1.5","5.8","772.8","5.374","0.036","2.9","7.4","8000","6.1","230"
"김포","2020","03","11.2","2.7","5.4","77.7","5.842","0.122","3.1","7.6","23000","26.9","1800"
"김포","2020","04","11.4","2.6","6.2","8","6.252","0.063","3.1","7.6","8000","26.7","180"
"김포","2020","05","7.4","1.4","5.3","9","5.252","0.105","2.4","7","20000","10.8","500"
"김포","2020","06","7.1","1.7","6.5","168","4.102","0.276","3.2","8.1","86000","19.4","1300"
"김포","2020","07","7.5","1.4","6","73.7","3.739","0.168","2.5","7.5","230000","35.2","1000"
"김포","2020","08","8.9","1","3.7","7.8","2.755","0.064","1.7","7.8","7000","23.4","1300"
"김포","2020","09","10.2","0.9","3.3","15.8","2.629","0.099","1.7","7.3","12000","7.8","1500"
"김포","2020","10","9.3","2.1","5.4","10.4","6.285","0.128","2.6","6.9","30000","19","680"
"김포","2020","11","9.7","1.1","4.9","10","4.951","0.053","2.5","7.5","97000","15.5","1900"
"김포","2020","12","12.4","1.2","5.4","7.4","6.141","0.052","2.7","7.8","6200","14.7","210"
"김포","2021","01","13.6","0.9","5.1","5","6.485","0.062","2.2","7.8","6300","8.9","860"
"김포","2021","02","13.7","1.2","5.5","12.2","6.627","0.052","2.9","7.7","870","11.8","150"
"김포","2021","03","13.2","2.2","6.4","9.6","4.659","0.053","2.6","7.2","7000","7.4","360"
"김포","2021","04","15.9","3.7","8.5","13","5.081","0.081","2.4","9.1","1200","139.4","130"
"김포","2021","05","9.7","2.9","5","12.8","4.432","0.086","2.2","7.5","10000","24.1","290"
"김포","2021","06","8.1","1.5","4.7","12.8","3.03","0.075","1.9","7.5","22000","22.7","200"
"김포","2021","07","7.8","1.5","5.5","25.8","2.75","0.128","2.1","7.3","49000","8.7","2000"
"김포","2021","08","9.5","4.4","6.3","82.6","4.809","0.28","2.6","7.7","89000","177.2","1800"
"김포","2021","09","7.8","1.2","5.1","20.6","2.726","0.139","2.4","7.4","73000","12.2","4500"
"김포","2021","10","8.6","1.3","5.9","9.8","4.037","0.081","1.6","7.6","21000","19.5","1700"
