관리번호,취수장 명,건설일,주소,읍면동 코드,취수구분,취수 명,취수용량,후처리시설
1302210,달방댐,1990,강원도 동해시 달방동 산131-8 ,42170650,용수댐,달방댐,40000,없음
2012210,영천댐(안계댐),1971,경상북도 영천시 자양면 성곡리 51,47230360,용수댐,안계댐,195000,없음
2021210,운문댐,1994,경상북도 청도군 운문면 대천리 산133,47820350,용수댐,운문댐,376000,없음
2101210,안계,1971,경북 경주시 강동읍 유금리,47130370,용수댐,대곡댐,18.463,없음
2201220,사연댐,1965,울산광역시 울주군 범서읍 사연리 산93-2,31710259,용수댐,사연댐,220000,없음
2201230,대암댐(원동구),1969,울산광역시 울주군 언양읍 구수리 산185,31710253,용수댐,대암댐,50000,없음
2403201,감포댐,2008,경상북도 경주시 감포읍 오류리 산17-2 ,47130250,용수댐,감포댐,4500,없음
2503210,연초댐,1979,경상남도 거제시 연초면 덕치리 산25-1 ,48310370,용수댐,연초댐,16000,없음
1900000002,부조취수장,1971,경북 경주시 강동면 국당리 산10-1번지,47130370,용수댐,안계댐,100000,없음
1900000015,광동취수장,1989,강원도 삼척시 하장면 숙암리 산103-1,42230320,용수댐,광동댐,70000,없음
1900000038,덕소취수장,1999,경기도 남양주시 와부읍 도곡리 산191-9번지,41360250,하천,팔당호,475000,없음
1900000039,팔당2취수장,1988,경기도 하남시 배알미동 산13번지,41450510,하천,팔당호,2830000,없음
1900000040,팔당1취수장,1980,경기도 하남시 배알미동 산144번지,41450510,하천,팔당호,2600000,없음
1900000041,팔당3취수장,1999,경기도 하남시 배알미동 산123번지,41450510,하천,팔당호,2380000,없음
1900000048,자양취수장,1992,서울시 광진구 자양동 701,11215830,하천,팔당호,250000,없음
1900000061,대청취수장,1989,충청북도 청원군 가덕면 국전리 210,43111330,다목적댐,대청댐,250000,없음
1900000062,현도취수장,2002,충청북도 청주시서원구 현도면 하석리 383-1,43111525,다목적댐,대청댐,994000,없음
1900000094,칠보취수장,1992,전라북도 정읍시 칠보면 시산리 429-1번지,45180420,하천,동진강,90000,없음
1900000097,주암취수장,1998,전라남도 순천시 주암면 광천리 468,46150350,다목적댐,주암댐,596000,없음
1900000100,이사천취수장,1991,전라남도 순천시 상사면 용계리 67-1,46150400,하천,이사천,540000,없음
1900000111,대불취수장,1994,전라남도 무안군 몽탄면 몽강리 169,46840320,하천,영산강(영산호),57500,없음
1900000118,해평취수장,1997,경상북도 구미시 해평면 문량2리 704-54번지,47190340,하천,낙동강,464000,없음
1900000135,원동취수장,1977,경상남도 양산시 원동면 화제리 2945-1번지,48330320,하천,낙동강,1275000,없음
1900000139,본포취수장,1967,경상남도 창원시 의창구 동읍 본포리 210번지,48121310,하천,낙동강,285000,없음
1900000149,구천취수장,1987,경상남도 거제시 동부면 구천리 산10-9,48310320,용수댐,구천댐,20000,없음
